Вірменiя;F;374;0,09    ;USD;0,8629    ;1,2,3,4,5,6,7;0:00;23:59
Вірменiя;M;374 (9);0,17    ;USD;1,6300    ;1,2,3,4,5,6,7;0:00;23:59
Азербайджан;M;994 (4, 5, 7);0,22    ;USD;2,0614    ;1,2,3,4,5,6,7;0:00;23:59
Росія, Москва;;7 (495-497, 499);0,02    ;USD;0,1822    ;1,2,3,4,5,6,7;0:00;23:59
Росія, Санкт-Петербург;;7 (812-814);0,02    ;USD;0,1822    ;1,2,3,4,5,6,7;0:00;23:59
Росія, GlobalTel;M;7 (954);1,30    ;USD;12,4644    ;1,2,3,4,5,6,7;0:00;23:59
Ангілья;;1 264;0,20    ;USD;1,9176    ;1,2,3,4,5,6,7;0:00;23:59
GMSS, ICO;;8811;1,30    ;USD;12,4644    ;1,2,3,4,5,6,7;0:00;23:59
GMSS, IRIDIUM;;8816-8818;1,30    ;USD;12,4644    ;1,2,3,4,5,6,7;0:00;23:59
Inmarsat;;870, 871, 872, 873, 874;1,30    ;USD;12,4644    ;1,2,3,4,5,6,7;0:00;23:59
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;









































































































































































































































































































